KOD	BENÄMNING	POANG
DDV407	Mobilitet                                                                                                               	7.5
DDVX10	Kandidatarbete i Datavetenskap                                                                                          	15
DDVX11	Kandidatarbete i Datavetenskap                                                                                          	15
DDVX30	Kandidatarbete i Människor, Datateknik och Arbetsliv                                                                    	30
DDVX31	Kandidatarbewte i datavetenskap                                                                                         	15
DDVX40	Magisterarbete i Datavetenskap med inriktning mot MDA                                                                   	30
DDVX41	Magisterarbete i MDA med inr mot datavetenskap                                                                          	30
DEC100	Datakunskap, inledning                                                                                                  	4.5
DEC101	C-programmering                                                                                                         	12
DEC102	Datalogi II                                                                                                             	9
DEC103	Datorteknik                                                                                                             	9
DEC104	Datalogi, projekt                                                                                                       	4.5
DEC105	Databaser                                                                                                               	4.5
DEC106	Objektorienterad programmering i C++                                                                                    	7.5
DEC107	Projekt datalogi                                                                                                        	6
DEC201	Datorkommunikation                                                                                                      	6
DEC202	Datakommunikation med inriktning mot internetprogrammering                                                              	6
DEC301	Objektorienterad systemutveckling                                                                                       	9
DEC302	Realtidssystem                                                                                                          	6
DEC303	Kvalitet vid systemutveckling                                                                                           	6
DEC304	Projekt inom datorsystemkonstruktion                                                                                    	10.5
DECX30	Projekt inom systemkonstruktion med kvalitetssäkring                                                                    	15
DET202	Databasteknik                                                                                                           	7.5
DET302	Operativsystem och Distribuerade system                                                                                 	7.5
DET303	Datorsystemprestanda                                                                                                    	7.5
DET304	Agent Programming                                                                                                       	7.5
DET378	Objektorienterad systemutveckling                                                                                       	7.5
DFY005	Fysik                                                                                                                   	7.5
DFY148	Fysik, 5 poäng                                                                                                          	7.5
DHS100	Hälso- och sjukvårdsinformatik                                                                                          	15
DHS101	Hälso- och sjukvårdsinformatik                                                                                          	7.5
DHS110	Hälsoekonomisk informatik                                                                                               	15
DHÄ101	HÄLSOEKONOMI FÖR YRKESVERKSAMMA, 1-5 P                                                                                  	7.5
DIA101	Diabetes och diabetesvård                                                                                               	15
DMA003	Matematik, 13 poäng                                                                                                     	19.5
DMA004	Matematik, 12                                                                                                           	18
DMA021	Matematik, 10 poäng                                                                                                     	15
DMA116	Diskret Matematik                                                                                                       	7.5
DMA117	Diskret Matematik                                                                                                       	7.5
DMA118	Diskret Matematik                                                                                                       	15
DMA141	Matematik, 10 poäng                                                                                                     	15
DMA142	Matematik, 11 poäng                                                                                                     	16.5
DMA143	Matematik, 7 poäng                                                                                                      	10.5
DMA144	Matematik                                                                                                               	6.8
DMA145	Matematik                                                                                                               	3
DMA146	Matematik                                                                                                               	16.5
DMA147	Linjär algebra                                                                                                          	4.5
DMA148	Analys                                                                                                                  	12
DMA149	Analys                                                                                                                  	6
DMA150	Numerisk analys                                                                                                         	4.5
DMA151	Matematiskt datalogiprojekt                                                                                             	3
DMA161	Matematik                                                                                                               	6
DMA164	Tillämpad analys                                                                                                        	3
DMA180	Matematik                                                                                                               	7.5
DMA181	Matematisk statistik                                                                                                    	7.5
DOK101	Dokumentation och kvalitetssäkring inom skolhälsovården                                                                 	7.5
DPS115	Psykologi                                                                                                               	15
DPS120	Psykologi, allmän kurs, 1-20 poäng                                                                                      	30
DPS210	Psykologi, 21-30 poäng                                                                                                  	15
DPS211	Psykologi, 31-40 poäng                                                                                                  	15
DPT100	Objektorienterad programmering i Java                                                                                   	7.5
DPT101	Datastrukturer och algoritmer i Java                                                                                    	7.5
DPT102	Objektorienterad programmering i Java                                                                                   	15
DPT103	Individuellt programvaruprojekt                                                                                         	7.5
DPT201	Realtidssystem                                                                                                          	7.5
DPT202	Operativsystem och Distribuerade system                                                                                 	7.5
DPT203	Programvaruprojekt i grupp                                                                                              	15
DPT204	Datakommunikation                                                                                                       	7.5
DPT205	Realtidssystem                                                                                                          	4.5
DPT206	Avancerad Java programmering                                                                                            	6
DPT207	Avancerad Java programmering                                                                                            	7.5
DPT208	Webbteknologier                                                                                                         	7.5
DPT209	Programvaruprojekt i grupp för Datavetenskapligt program                                                                	15
DPT210	Webbteknologier                                                                                                         	7.5
DPT301	Software Maintenance                                                                                                    	7.5
DPT302	Tillämpad artificiell intelligens                                                                                       	7.5
DPT303	Datorsystemprestanda                                                                                                    	7.5
DPT304	Agent Programming                                                                                                       	7.5
DPT305	Software Architecture                                                                                                   	7.5
DPT306	Projekthantering                                                                                                        	6
DPT307	Stort Programvaruprojekt                                                                                                	22.5
DPT308	Intelligenta beslutsstödjande system                                                                                    	7.5
DPT309	Agentsystem                                                                                                             	7.5
DPT400	Software Architecture                                                                                                   	7.5
DPT401	Project and Quality Management                                                                                          	7.5
DPT402	Software Achitecture                                                                                                    	9
DPT403	Software Project Management                                                                                             	7.5
DPT404	Software Quality Management                                                                                             	7.5
DPT405	Advanced Software Engineering Topic                                                                                     	7.5
DPT406	Performance of Computer Systems                                                                                         	7.5
DPT407	Stort programvaruprojekt                                                                                                	30
DPT408	Systems Engineering                                                                                                     	7.5
DPT409	Product-line Architectures                                                                                              	7.5
DPT410	Knowledge Management                                                                                                    	7.5
DPT701	Software Architecture II                                                                                                	9
DPTX40	Software Engineering Bachelor Project                                                                                   	15
DPTX61	Software Engineering Master Project                                                                                     	15
DPTX62	Software Engineering Master Project                                                                                     	22.5
DPTX63	Software Engineering Master Project                                                                                     	30
DSO105	Den multimediala forskningsmodellen                                                                                     	7.5
DSO120	Sociologi, allmän kurs, 1-20 poäng                                                                                      	30
DST110	Statistik, allmän kurs, 6-10 poäng                                                                                      	7.5
DST114	Statistik                                                                                                               	7.5
DST115	Statistik för dataloger                                                                                                 	7.5
DST145	Statistik                                                                                                               	3.8
DSV105	Informationsteknik med Internet                                                                                         	7.5
DSV106	Muntlig och skriftlig kommunikation                                                                                     	6
DSV107	Muntlig och skriftlig kommunikation                                                                                     	4.5
DTD100	Datasäkerhet                                                                                                            	7.5
DTT161	Webbutveckling med PHP                                                                                                  	7.5
DTTS20	ASP,NET med C#                                                                                                          	7.5
DTTS25	Applikationsutveckling med C#                                                                                           	7.5
DV1101	Grunder i spelutveckling                                                                                                	7.5
DV1102	Grundkurs IT                                                                                                            	7.5
DV1103	Hot och svek - säkerhet hos människor och datorer                                                                       	7.5
DV1104	Informationssäkerhet                                                                                                    	7.5
DV1105	Inledande programmering i Java                                                                                          	7.5
DV1106	Databasteknik och webbapplikationer, intro                                                                              	7.5
DV1107	Introduktion till programmering och datastrukturer                                                                      	15
DV1108	IT i vården                                                                                                             	7.5
DV1109	Objektorienterad programmering i Java                                                                                   	7.5
DV1110	Objektorienterad programmering med C++ (K-hamn)                                                                         	7.5
DV1111	Objektorienterad programmering med C++, fortsättningskurs                                                               	7.5
DV1112	Databasteknik och Windowsapplikationer                                                                                  	7.5
DV1114	Inledande programmering i C++                                                                                           	7.5
DV1115	Webbutveckling I - Introduktion                                                                                         	7.5
DV1116	Tänkande datorer - en introduktion till artificiell intelligens                                                         	7.5
DV1117	Datorteknik                                                                                                             	7.5
DV1118	Säkerhetsmodeller och riskhantering                                                                                     	7.5
DV1119	Objektorienterad programmering i C++                                                                                    	7.5
DV1120	Introduktion till systemutveckling                                                                                      	15
DV1121	Programmering, datastrukturer och algoritmer                                                                            	22.5
DV1122	Webbutveckling - Introduktion                                                                                           	15
DV1123	Webbutveckling II - Skriptspråk                                                                                         	7.5
DV1124	Datastrukturer och algoritmer                                                                                           	7.5
DV1125	Informationssystem ur ett managementperspektiv                                                                          	7.5
DV1126	Programmering, datastrukturer och algoritmer                                                                            	22.5
DV1201	Databasteknik                                                                                                           	7.5
DV1202	Inbyggda system                                                                                                         	7.5
DV1203	Kompilator- och översättarteknik                                                                                        	7.5
DV1204	Operativsystem                                                                                                          	7.5
DV1205	Objektorienterad programmering i C++                                                                                    	7.5
DV1206	Realtids- och operativsystem                                                                                            	7.5
DV1207	Metoder för riskanalys                                                                                                  	7.5
DV1208	Personlig integritet och illasinnad programvara                                                                         	15
DV1209	Realtidssystem                                                                                                          	7.5
DV1210	Datavetenskapligt utredningsarbete                                                                                      	7.5
DV1211	Scripting och interpretatorteknik                                                                                       	4.5
DV1212	3D-programmering I                                                                                                      	7.5
DV1213	Databasteknik                                                                                                           	7.5
DV1214	IT i vården II                                                                                                          	7.5
DV1215	3D-programmering II                                                                                                     	10.5
DV1216	Kvantitativa metoder för riskanalys                                                                                     	7.5
DV1217	Databasdrivna webbapplikationer                                                                                         	15
DV1218	Introduktion till spelprogrammering i C++                                                                               	7.5
DV1219	Databasteknik                                                                                                           	7.5
DV1220	Databasteknik                                                                                                           	7.5
DV1221	Stort spelutvecklingsprojekt i grupp	22.5
DV1301	Användbarhet ur ett industriellt perspektiv                                                                             	7.5
DV1302	Introduktion till datasäkerhet                                                                                          	7.5
DV1303	Kandidatarbete i datavetenskap                                                                                          	15
DV1304	Människa-dator interaktion                                                                                              	7.5
DV1305	Programmering i UNIX-miljö                                                                                              	7.5
DV1306	Tillämpad artificiell intelligens                                                                                       	7.5
DV1307	Prestandaoptimering                                                                                                     	7.5
DV1308	Digital undersökningsteknik och digitala bevis                                                                          	7.5
DV1309	Säkerhet i informationssystem                                                                                           	7.5
DV1310	Tillämpad nätverkssäkerhet                                                                                              	7.5
DV1311	Webbteknologier och tillämpningar                                                                                       	7.5
DV1312	Stort programvaruprojekt i grupp med inriktning mot IT-säkerhet                                                         	30
DV1313	Strategisk informationssäkerhet                                                                                         	7.5
DV1314	Middlewareteknologier                                                                                                   	7.5
DV1315	Människa-dator interaktion                                                                                              	7.5
DV1316	Tillämpad artificiell intelligens                                                                                       	7.5
DV1317	Grundläggande artificiell intelligens för spel                                                                          	7.5
DV1318	Tillämpad artificiell intelligens                                                                                       	7.5
DV1319	Introduktion till datasäkerhet                                                                                          	7.5
DV1320	Tillämpad artificiell intelligens                                                                                       	7.5
DV1321	Lokala nätverk                                                                                                          	7.5
DV1322	Kandidatarbete i datavetenskap                                                                                          	15
DV1323	Utveckling av komplexa webbapplikationer                                                                                	7.5
DV2401	Agentsystem                                                                                                             	7.5
DV2402	Fördjupningskurs i datavetenskap                                                                                        	7.5
DV2403	Magisterarbete i datavetenskap                                                                                          	30
DV2404	Utveckling av kunskapsintensiva system                                                                                  	7.5
DV2405	Designteori och designforskning                                                                                         	7.5
DV2406	Lärande system                                                                                                          	7.5
DV2407	Serverarkitekturer                                                                                                      	7.5
DV2408	Intelligenta beslutsstödjande system                                                                                    	7.5
DV2409	Programvarusäkerhet                                                                                                     	7.5
DV2410	Magisterarbete i datavetenskap med inriktning mot Ubiquitous Computing                                                  	30
DV2411	Lärande system                                                                                                          	7.5
DV2412	Avancerad artificiell intelligens för spel                                                                              	7.5
DV2413	Datorsystemssäkerhet                                                                                                    	7.5
DV2414	Optimeringstekniker                                                                                                     	7.5
DV2415	Multiprocessorsystem                                                                                                    	7.5
DV2416	Illasinnad programvara och skydd                                                                                        	7.5
DV2417	Felsökning och felhantering                                                                                             	7.5
DV2418	Forskningsmetodik i datavetenskap och interaktionsdesign                                                                	7.5
DV2419	Parallelliserad XML-process                                                                                             	5
DVA001	Objektorienterad programmering                                                                                          	15
DVA002	Datastrukturer och algoritmer                                                                                           	7.5
DVA003	Java Application                                                                                                        	7.5
DVA004	Programmering i Java                                                                                                    	7.5
DVA005	Interaktiv WWW-hantering                                                                                                	7.5
DVA006	Grundkurs IT                                                                                                            	7.5
DVA007	Datorteknik                                                                                                             	7.5
DVA008	Objektorienterad programmering och datastrukturer                                                                       	15
DVA009	Introduktion till datorsystem                                                                                           	7.5
DVA010	Introduktion till mobila applikationer                                                                                  	7.5
DVA011	Informationssäkerhet                                                                                                    	7.5
DVA012	Programmering                                                                                                           	7.5
DVA013	Objektorienterad programmering för medieteknik                                                                          	15
DVA014	Datorteknik                                                                                                             	7.5
DVA015	Programmering med Visual Studio och C#                                                                                  	7.5
DVA016	Programvarudesign                                                                                                       	15
DVA017	Applikationsutveckling med Visual Studio Net och C#                                                                     	7.5
DVA018	Riskanalys inom informationssäkerhet                                                                                    	7.5
DVA019	Informationssäkerhet                                                                                                    	7.5
DVA020	Objektorienterad programkonstruktion                                                                                    	15
DVA021	Algoritmkonstruktion och datastrukturer                                                                                 	7.5
DVA022	Programmering i C                                                                                                       	7.5
DVA023	Informationssystem ur ett management perspektiv                                                                         	7.5
DVA024	Algoritmkonstruktion och datastrukturer                                                                                 	7.5
DVA025	Säkerhetsmodeller och riskhantering                                                                                     	7.5
DVA026	Objektorienterad programmering med C++                                                                                  	15
DVA027	Objektorienterad programmering med Java                                                                                 	15
DVA028	Grundläggande programmering                                                                                             	3
DVA029	Tänkande datorer - En introduktion till artificiell intelligens                                                         	7.5
DVA030	Webbdesign för sökmotoroptimering                                                                                       	7.5
DVA031	Algoritmkonstruktion och datastrukturer                                                                                 	7.5
DVA032	Perspektiv på intelligenta transportsystem och logistik                                                                 	7.5
DVA033	IT i vården                                                                                                             	7.5
DVA034	Webbutveckling I - Introduktion                                                                                         	7.5
DVA035	Webbutveckling II - Skriptspråk                                                                                         	7.5
DVA036	Inledande programmering i Java                                                                                          	7.5
DVA037	Objektorienterad programmering i Java                                                                                   	7.5
DVA038	Programmering och problemlösning                                                                                        	7.5
DVA039	Introduktion till programmering i C++                                                                                   	7.5
DVA040	Introduktion till interaktiv webbdesign med javascript                                                                  	7.5
DVA041	Perspektiv på intelligenta transportsystem och logi                                                                     	7.5
DVA042	Hot och svek - säkerhet hos människor och datorer                                                                       	7.5
DVA043	Grundkurs IT                                                                                                            	7.5
DVA044	Användarcentrerad systemutveckling 1                                                                                    	7.5
DVA045	Grundläggande programmering med java för medieteknik                                                                    	7.5
DVA046	Informationssystem ur ett managementperspektiv                                                                          	7.5
DVA047	Objektorienterad programmering med C++ (inriktning medieteknik)                                                         	7.5
DVA048	Tillämpad objektorienterad programmering med java (inr medieteknik)                                                     	7.5
DVA049	Objektorienterad programmering med C++, fortsättningskurs (inr medieteknik)                                             	7.5
DVB002	Databasteknik                                                                                                           	7.5
DVB003	Datakommunikation                                                                                                       	7.5
DVB004	Kompilator- och översättarteknik                                                                                        	7.5
DVB005	Realtidssystem                                                                                                          	7.5
DVB006	Operativsystem och Distribuerade system                                                                                 	7.5
DVB007	Operativsystem                                                                                                          	7.5
DVB008	Systemvetenskaplig utredning                                                                                            	7.5
DVB009	Högskoleexamensarbete i Datavetenskap                                                                                   	7.5
DVB010	Programmering i C/C++                                                                                                   	7.5
DVB011	Fördjupning i programmering för medieteknik                                                                             	7.5
DVB012	Operativsystem och distribuerade system för yrkesverksamma                                                              	4.5
DVB013	Programmering i C#                                                                                                      	7.5
DVB014	Realtids- och operativsystem                                                                                            	7.5
DVB015	Intelligent logistik och optimering                                                                                     	7.5
DVB016	Operativsystem och introduktion till programmering                                                                      	7.5
DVB017	Spelprogrammering för mobila enheter                                                                                    	15
DVB018	Inbyggda system                                                                                                         	7.5
DVB019	Datorer i kontext                                                                                                       	7.5
DVB020	Logik, grundkurs                                                                                                        	7.5
DVB021	Programmering i C++                                                                                                     	7.5
DVB022	Utredningsarbete i IT-säkerhet                                                                                          	7.5
DVB023	Grafisk gränssnittskonstruktion                                                                                         	7.5
DVB024	Databasteknik                                                                                                           	7.5
DVB025	Kvantitativa metoder för riskanalys                                                                                     	7.5
DVB026	3D programmering                                                                                                        	15
DVB027	Kompilatorteknik inriktning mot spelprogrammering                                                                       	7.5
DVB029	Spelprogrammering för mobiltelefoner                                                                                    	15
DVB030	Programmering av inbyggda system                                                                                        	3
DVB031	Personlig integritet och illasinnad programvara                                                                         	7.5
DVB032	IT i vården II                                                                                                          	7.5
DVB033	Databasteknik och webbapplikationer                                                                                     	7.5
DVC001	Kandidatarbete i Datavetenskap                                                                                          	15
DVC002	Människa - datorinteraktion                                                                                             	7.5
DVC003	Konstruktion och analys av algoritmer                                                                                   	7.5
DVC004	Tillämpad artificiell intelligens                                                                                       	7.5
DVC005	Automata och formella språk                                                                                             	7.5
DVC006	Lokala nätverk                                                                                                          	7.5
DVC007	Nätverkssäkerhet                                                                                                        	7.5
DVC008	Programmeringsparadigm                                                                                                  	7.5
DVC009	Systemteori                                                                                                             	7.5
DVC010	Webbteknologier                                                                                                         	7.5
DVC011	Programmering i Unix-miljö                                                                                              	7.5
DVC012	Introduktion till datasäkerhet                                                                                          	7.5
DVC013	Digital undersökningsteknik och digitala bevis                                                                          	7.5
DVC014	Optimeringstekniker                                                                                                     	7.5
DVC015	Intelligent logistik och optimering                                                                                     	7.5
DVC016	Lokala nätverk                                                                                                          	7.5
DVC017	Magisterarbete i datavetenskap med inriktning mot Ubiquitous Computing                                                  	30
DVC018	Magisterarbete i datavetenskap med inr mot Intelligent logistik                                                         	30
DVC019	Prestandaoptimering                                                                                                     	7.5
DVC020	Strategisk informationssäkerhet                                                                                         	7.5
DVC021	Webbteknologier och tillämpningar                                                                                       	7.5
DVC022	Stort programvaruprojekt i grupp med inriktning mot IT-säkerhet                                                         	30
DVC023	Människa-dator interaktion                                                                                              	7.5
DVD001	Intelligenta beslutsstödjande system                                                                                    	7.5
DVD002	Knowledge Engineering                                                                                                   	7.5
DVD003	Fördjupningskurs i Datavetenskap                                                                                        	7.5
DVD004	Datorsystem och programvara                                                                                             	7.5
DVD005	Agentsystem                                                                                                             	7.5
DVD006	Riskanalys och säkerhet                                                                                                 	7.5
DVD007	Mobilitet                                                                                                               	7.5
DVD008	Magisterarbete i Datavetenskap                                                                                          	15
DVD009	Magisterarbete i Datavetenskap                                                                                          	30
DVD010	Utveckling av MDA-system                                                                                                	15
DVD011	Programvarusäkerhet                                                                                                     	7.5
DVD012	Data- och informationssäkerhet                                                                                          	60
DVD013	Adaptiva lärande system                                                                                                 	7.5
DVD014	Tekniker för nätverksbaserad systemkommunikation                                                                        	7.5
DVD015	Utveckling av kunskapsintensiva system                                                                                  	7.5
DVD016	Fördjupningskurs i datavetenskap                                                                                        	15
DVD017	Network Security                                                                                                        	7.5
DVD018	Datorarkitektur                                                                                                         	7.5
DVD019	Designteori och designforskning                                                                                         	7.5
DVD020	Programvarusäkerhet                                                                                                     	7.5
DVX001	IT för Tekniskt Basår                                                                                                   	7.5
EAR005	Samhällsmedicin                                                                                                         	15
EAR007	Arbetsvetenskap, 4 poäng                                                                                                	6
EAR008	Arbetsvetenskap                                                                                                         	4.5
EAR028	Arbetsvetenskap                                                                                                         	2.3
EAR085	Högre projektledarutbildning                                                                                            	15
EAR101	Människa Datorinteraktion                                                                                               	7.5
EAR102	Human Computer Interaction                                                                                              	7.5
EAR103	Arbetsvetenskap                                                                                                         	4.5
EAR104	Arbetsvetenskap                                                                                                         	7.5
EAR105	Yrkeskunnande och teknologi-introduktion                                                                                	7.5
EAR106	Yrkeskunnande och teknologi-fördjupning                                                                                 	7.5
EAR107	Arbetsvetenskap                                                                                                         	7.5
EAR108	Work Practice                                                                                                           	15
EAR109	Datorer och lärande                                                                                                     	7.5
EAR110	Arbetsvetenskap för ekonomer                                                                                            	7.5
EAR112	Arbetshälsa och Organisationshälsa                                                                                      	7.5
EAR115	Systemutveckling med brukarmedverkan                                                                                    	7.5
EAR122	Arbetslivets socialpsykologi                                                                                            	7.5
